full_name,first_name,second_name,now_cost,team,element_type,total_points,pos,team_name,GF,GA,is_available,y_pred,y_pred_delta_1,y_pred_delta_2,y_pred_delta_3,y_pred_delta_4,y_pred_delta_5,y_pred_delta_6,y_pred_delta_7,y_pred_delta_8,y_pred_delta_9,y_pred_delta_10,y_pred_delta_11,y_pred_delta_12,y_pred_delta_13,y_pred_delta_14,y_pred_delta_15,y_pred_delta_16,y_pred_delta_17,y_pred_delta_18,picked_by,pick
David_Raya_Martin,David,Raya Martín,60,1,1,162,GK,Arsenal,0,0,False,146.54972375690608,30.33839779005524,0.0,0.0,30.33839779005524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,14.0
Jordan_Pickford,Jordan,Pickford,55,9,1,135,GK,Everton,0,0,False,116.21132596685084,0.0,0.0,30.33839779005524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33839779005524,10,31.0
Gianluigi_Donnarumma,Gianluigi,Donnarumma,55,15,1,135,GK,Man City,0,0,False,116.21132596685084,0.0,30.33839779005524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33839779005524,0.0,3,23.0
Alisson_Becker,Alisson,Becker,55,14,1,91,GK,Liverpool,0,0,False,116.21132596685084,30.33839779005524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33839779005524,0.0,0.0,4,24.0
Robert_Lynch_Sanchez,Robert,Lynch Sánchez,50,6,1,113,GK,Chelsea,0,0,False,85.8729281767956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33839779005524,0.0,0.0,0.0,6,115.0
Filip_Jorgensen,Filip,Jörgensen,50,6,1,9,GK,Chelsea,0,0,False,85.8729281767956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33839779005524,0.0,0.0,0.0,0.0,2,99.0
Illan_Meslier,Illan,Meslier,50,1,1,0,GK,Arsenal,0,0,False,85.8729281767956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33839779005524,0.0,0.0,0.0,0.0,0.0,8,128.0
Kepa_Arrizabalaga_Revuelta,Kepa,Arrizabalaga Revuelta,50,1,1,2,GK,Arsenal,0,0,False,85.8729281767956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33839779005524,0.0,0.0,0.0,0.0,0.0,0.0,2,119.0
Dean_Henderson,Dean,Henderson,50,8,1,131,GK,Crystal Palace,0,0,False,85.8729281767956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33839779005524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,105.0
Mark_Travers,Mark,Travers,50,9,1,0,GK,Everton,0,0,False,85.8729281767956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33839779005524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,111.0
Lukas_Hornicek,Lukás,Hornícek,50,17,1,0,GK,Newcastle,0,0,False,85.8729281767956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33839779005524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,120.0
Matz_Sels,Matz,Sels,50,18,1,105,GK,Nott'm Forest,0,0,False,85.8729281767956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33839779005524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,129.0
James_Trafford,James,Trafford,50,13,1,13,GK,Leeds,0,0,False,85.8729281767956,0.0,0.0,0.0,0.0,0.0,0.0,30.33839779005524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,124.0
Giorgi_Mamardashvili,Giorgi,Mamardashvili,50,14,1,34,GK,Liverpool,0,0,False,85.8729281767956,0.0,0.0,0.0,0.0,0.0,30.33839779005524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,134.0
Caoimhin_Kelleher,Caoimhín,Kelleher,50,4,1,143,GK,Brentford,0,0,False,85.8729281767956,0.0,0.0,0.0,0.0,30.33839779005524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,125.0
Emiliano_Martinez_Romero,Emiliano,Martínez Romero,50,2,1,120,GK,Aston Villa,0,0,False,85.8729281767956,0.0,0.0,0.0,30.33839779005524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,61.0
Senne_Lammens,Senne,Lammens,50,16,1,109,GK,Man Utd,0,0,False,85.8729281767956,0.0,0.0,30.33839779005524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,35.0
Nick_Pope,Nick,Pope,50,17,1,96,GK,Newcastle,0,0,False,85.8729281767956,0.0,30.33839779005524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,33.0
Robin_Roefs,Robin,Roefs,50,20,1,136,GK,Sunderland,0,0,False,85.8729281767956,30.33839779005524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,32.0
Jack_Butland,Jack,Butland,45,11,1,0,GK,Hull City,0,0,True,55.53453038674036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Tom_King,Tom,King,45,9,1,0,GK,Everton,0,0,True,55.53453038674036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Bernd_Leno,Bernd,Leno,45,10,1,122,GK,Fulham,0,0,True,55.53453038674036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Marcus_Bettinelli,Marcus,Bettinelli,45,15,1,0,GK,Man City,0,0,True,55.53453038674036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Ben_Wilson,Ben,Wilson,45,7,1,0,GK,Coventry City,0,0,True,55.53453038674036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Konstantinos_Tzolakis,Konstantinos,Tzolakis,45,11,1,0,GK,Hull City,0,0,True,55.53453038674036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Walter_Benitez,Walter,Benítez,45,8,1,7,GK,Crystal Palace,0,0,True,55.53453038674036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Mike_Penders,Mike,Penders,45,6,1,0,GK,Chelsea,0,0,True,55.53453038674036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33839779005524,,
Hakon_Rafn_Valdimarsson,Hákon Rafn,Valdimarsson,45,4,1,1,GK,Brentford,0,0,True,55.53453038674036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33839779005524,0.0,,
Carl_Rushworth,Carl,Rushworth,45,7,1,0,GK,Coventry City,0,0,True,55.53453038674036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33839779005524,0.0,0.0,,
Bart_Verbruggen,Bart,Verbruggen,45,5,1,130,GK,Brighton,0,0,True,55.53453038674036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33839779005524,0.0,0.0,0.0,,
Dorde_Petrovic,Đorđe,Petrović,45,3,1,124,GK,Bournemouth,0,0,True,55.53453038674036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33839779005524,0.0,0.0,0.0,0.0,,
Marco_Bizot,Marco,Bizot,45,2,1,16,GK,Aston Villa,0,0,True,55.53453038674036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33839779005524,0.0,0.0,0.0,0.0,0.0,,
Melker_Ellborg,Melker,Ellborg,45,20,1,16,GK,Sunderland,0,0,True,55.53453038674036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33839779005524,0.0,0.0,0.0,0.0,0.0,0.0,,
John_Victor_Maciel_Furtado,John Victor,Maciel Furtado,45,18,1,11,GK,Nott'm Forest,0,0,True,55.53453038674036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33839779005524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Antonin_Kinsky,Antonín,Kinský,45,19,1,20,GK,Spurs,0,0,True,55.53453038674036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33839779005524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Guglielmo_Vicario,Guglielmo,Vicario,45,19,1,90,GK,Spurs,0,0,True,55.53453038674036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33839779005524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
