team,gw,opponent_team,avg_points_conceded_GK_opponent,avg_points_conceded_DEF_opponent,avg_points_conceded_MID_opponent,avg_points_conceded_FWD_opponent,avg_points_scored_GK,avg_points_scored_DEF,avg_points_scored_MID,avg_points_scored_FWD,avg_points_conceded_GK_opponent_multiplier,avg_points_conceded_DEF_opponent_multiplier,avg_points_conceded_MID_opponent_multiplier,avg_points_conceded_FWD_opponent_multiplier,avg_points_scored_GK_multiplier,avg_points_scored_DEF_multiplier,avg_points_scored_MID_multiplier,avg_points_scored_FWD_multiplier,fixture_diff_GK_multiplier,fixture_diff_DEF_multiplier,fixture_diff_MID_multiplier,fixture_diff_FWD_multiplier
Brighton,2,Arsenal,1.5,1.7527855153203342,2.1949404761904763,2.940904565495662,3.0,4.133024118738405,8.483293974079388,5.361294072065091,0.6,0.6426230044067843,0.46401669702517867,0.6696271348362365,1.3333333333333333,1.4879570399399769,1.7624390839024984,1.034869589604562,0.7999999999999999,0.9561954234344535,0.817801162420519,0.6929767582160549
Spurs,2,Aston Villa,6.0,8.436490250696378,6.584015013973604,3.3275862068965516,1.5,1.940609560213895,2.26123595505618,2.802568218298555,2.4,3.093066815171756,1.3918796127221706,0.7576723310874144,0.6666666666666666,0.6986515379388841,0.46978103520797665,0.5409687629375393,1.5999999999999999,2.0,0.6538786453494989,0.5
Liverpool,2,Bournemouth,3.0,5.71102413568167,3.628917716125367,2.5168539325842696,1.0,1.4333454203820606,5.836123765862351,5.0,1.2,2.0938303381864087,0.7671635885703724,0.5730732331307963,0.4444444444444444,0.5160280578217945,1.2124786262124394,0.965130410395438,0.5333333333333333,1.0804752028226836,0.9301694539500102,0.553090404678166
Chelsea,2,Brentford,2.5,2.613081211563883,2.344569288389513,6.3817187974491345,2.0,1.9879811596556765,7.924895097466404,10.0,1.0,0.958032847862285,0.49564865605529346,1.4530808390738037,0.8888888888888888,0.7157060972295111,1.6464294292144714,1.930260820790876,0.8888888888888888,0.68566995056119,0.8160505338800367,2.0
Arsenal,2,Brighton,1.5,0.8317484844882919,4.687119955776672,9.0,6.0,8.147632311977716,6.249736659945225,4.0,0.6,0.30494359140968363,0.9908705698548317,2.049248480972178,2.6666666666666665,2.933282388187536,1.2984083997609024,0.7721043283163505,1.5999999999999999,0.894485666072681,1.2865546709753855,1.582233621954325
Brentford,2,Chelsea,1.0,1.1781328143905785,6.295798391977176,6.247993579454254,4.5,6.344531475054527,6.390767421346663,1.9730092818759162,0.4,0.43193833025002454,1.330949794161145,1.4226323724245056,2.0,2.2841362649269525,1.3277081183237494,0.3808422515861823,0.8,0.9866060043360756,1.7671128467890753,0.5417985158935409
Nott'm Forest,2,Coventry City,8.0,6.4164872728626285,5.769158503895583,3.5,1.5,2.706013363028953,5.50593471810089,2.3020787262273332,3.2,2.3524739866824484,1.2196166149519043,0.7969299648225137,0.6666666666666666,0.9742095661710394,1.1438804985712834,0.4443612371612787,2.0,2.0,1.3950956615770052,0.5
Leeds,2,Crystal Palace,3.5,4.5625,7.441394300835128,11.05056179775281,6.0,5.099212598425197,4.601489757914338,5.364864864864865,1.4,1.6727474251577867,1.573132047174413,2.5161496642149026,2.6666666666666665,1.8358008726775668,0.955978352077014,1.0355588457486187,2.0,2.0,1.5038801820573349,2.0
Ipswich Town,2,Everton,2.5,2.426781737193764,4.044396856234546,4.283707865168539,2.0,2.365756619563726,4.494051688773418,8.0,1.0,0.8897299511914103,0.8549970675952462,0.9753757595139111,0.8888888888888888,0.851711510926039,0.933657652979288,1.544208656632701,0.8888888888888888,0.757793241045387,0.7982745554351512,1.5061836913110769
Man Utd,2,Fulham,4.0,4.530534351145038,6.796013045331536,10.5561797752809,1.5,2.009422511321019,5.8345269826268655,6.4565217391304355,1.6,1.6610278729790173,1.4366966031388217,2.4035817077070676,0.6666666666666666,0.723425338453299,1.2121468879523556,1.2462770951628048,1.0666666666666667,1.201629651190209,1.7414873164264433,2.0
Newcastle,2,Hull City,1.5,2.381615598885794,2.551175773980714,3.0630791161796154,4.0,5.4961911357340725,4.900390362094495,7.882758620689655,0.6,0.873170709205881,0.5393258582700882,0.697445580658742,1.7777777777777777,1.9787197118432385,1.0180761773579474,1.5215780125268767,1.0666666666666667,1.727760094109817,0.5490748081379055,1.061217860464382
Everton,2,Ipswich Town,1.5,1.9991199204101937,7.264329469515717,6.01685393258427,5.0,6.333333333333334,4.680299748136939,6.067415730337078,0.6,0.7329364820707488,1.535700035199878,1.3700031979533098,2.2222222222222223,2.2801047486982546,0.9723514504742504,1.1711694867719922,1.3333333333333333,1.6711719532637075,1.4932401567199587,1.604505942222966
Crystal Palace,2,Leeds,2.0,3.163857362404359,3.8684210526315788,2.979996346364633,1.5,1.3040138800509067,3.3264026812313805,2.645348837209302,0.8,1.1599636726637585,0.81779527919599,0.678528109565596,0.6666666666666666,0.46946656425355393,0.6910737871531158,0.5106213217789817,0.5333333333333333,0.5445641600643888,0.5651568807099125,0.5
Bournemouth,2,Liverpool,1.0,2.573863741524718,6.537904027563806,3.2722323049001814,2.5,2.25,4.726375239693192,5.561797752808989,0.4,0.9436545635819088,1.3821316182582923,0.7450685644671984,1.1111111111111112,0.8100372133533272,0.9819238226420525,1.0735720295409927,0.5,0.7643953130520396,1.3571479619946285,0.7998847709022442
